year,exporter_name,value_B_USD,exporter_name_nl
2016,Germany,0.037650601389102284,Duitsland
2016,Netherlands,0.013706179816582831,Nederland
2016,Russian Federation,0.10551159910119383,Rusland
2016,United Kingdom,0.008025205283246604,VK
2016,USA,0.09044054502232635,VS
2017,Argentina,0.2397576384490711,Argentinië
2017,Belgium-Luxembourg,0.1453784340100227,Bel-Lux
2017,Canada,0.006074794146078639,Canada
2017,Chile,0.8175613180931187,Chili
2017,China,0.29874536618613756,China
2017,Germany,0.05513649608162676,Duitsland
2017,Netherlands,0.01774413433228976,Nederland
2017,Russian Federation,0.13982347371331236,Rusland
2017,United Kingdom,0.016186962876855816,VK
2017,USA,0.1368842286778931,VS
2018,Argentina,0.3630267462170472,Argentinië
2018,Belgium-Luxembourg,0.16196730801948275,Bel-Lux
2018,Canada,0.06715743324800215,Canada
2018,Chile,1.1426251992778471,Chili
2018,China,0.577528355729805,China
2018,Germany,0.08444380476652,Duitsland
2018,Netherlands,0.02404084471859357,Nederland
2018,Russian Federation,0.17637647967458575,Rusland
2018,United Kingdom,0.020416254108360152,VK
2018,USA,0.12409379141195305,VS
