year,exporter_name,value_B_USD,exporter_name_nl
2007,Singapore,0.3853863632510693,Singapore
2007,USA,2.652286569381515,VS
2007,Viet Nam,0.08746097719439518,Vietnam
2008,China,9.849764544174475,China
2008,Germany,2.4037372050928556,Duitsland
2008,Japan,4.843361971137575,Japan
2008,Malaysia,0.48633590416310896,Maleisië
2008,Mexico,0.8661424846917394,Mexico
2008,Poland,0.5868171519700631,Polen
2008,Rep. of Korea,3.0656138457951903,Zuid-Korea
2008,Singapore,0.451320700593037,Singapore
2008,USA,2.696621250169301,VS
2008,Viet Nam,0.15214409666911646,Vietnam
2009,China,7.668752685747418,China
2009,Germany,1.8555236767238261,Duitsland
2009,Japan,3.7879666698538363,Japan
2009,Malaysia,0.418391103671517,Maleisië
2009,Mexico,0.6801994588706999,Mexico
2009,Poland,0.44107897875476926,Polen
